"","salmonovary_02","salmonovary_03","salmonovary_07","salmonovary_09","salmonovary_10","salmonovary_11","salmonovary_12","salmonovary_13","salmonovary_14","salmonovary_15","salmonovary_16","salmonovary_17","salmonovary_18","salmonovary_19","salmonovary_20","salmonovary_21","salmonovary_22","salmonovary_23","salmonovary_24","salmonovary_26","salmonovary_27","salmonovary_28"
"XP_020330470.2",-11.2604157434913,-11.3075559153497,-11.6511553838962,-11.724442685415,-11.0280484964899,-11.1968185245441,-11.4553167393398,-11.006373726181,-11.7567625407537,-11.5001865758843,-11.1722374860739,-11.2468298971911,-11.6198936781402,-11.4062220297394,-11.219900459587,-11.4562689082037,-10.9478565414106,-11.9103300327442,-11.1547639837742,-11.2063134121593,-10.8764364729608,-10.9977735893975
"XP_020330476.1",-17.7787360820391,-18.5664618009627,-18.0524765943254,-19.497530496829,NA,-19.1690204829659,-18.0306746757859,-19.3421919790929,-17.5622818361603,-16.4904747930847,-16.9066553794449,-18.5631452432795,-19.1514082950006,-19.7914090318038,-20.3987066291324,-17.3040280687646,-18.3587818793898,NA,-20.2978546252693,-16.1872264163739,NA,-17.5028261520426
"XP_020330479.1",-11.8642862445921,-12.0181077658147,-11.9627527899885,-14.26546791889,-10.9243481655904,-11.1074360518311,-11.8476466436469,-10.8801550951745,-11.7206014419512,-11.6941884814392,-11.0130959426022,-11.4295383213033,-11.8550999931207,-11.656678068226,-11.1322131657558,-11.9249127344709,-10.609909823241,-12.0752899433712,-11.1893434569934,-11.0941881235082,-10.9986598964179,-10.9120047009923
"XP_020330481.1",-6.43297687989677,-6.36301983047305,-6.75377287080562,-6.74028357465189,-6.65540296357107,-6.83341065716458,-6.36019307227952,-6.29369462330843,-6.89854752425471,-6.39320257468982,-6.7217954033734,-6.60194578245243,-6.57339943716216,-6.48088681200708,-6.4819682843613,-6.42018094639319,-6.73327139313157,-6.87579253276997,-6.50385820638058,-6.46856021887933,-6.28105927249339,-6.81793673664971
"XP_020330482.1",-9.0744064695446,-7.90903176739136,-9.928910723683,-8.91858904687457,-8.43683373823245,-8.60000295395655,-7.52585755489565,-7.37694765865001,-8.40616028904549,-8.31884931530551,-8.49792968833181,-8.27772719047461,-7.74885907467668,-8.27124653718427,-7.85854754951847,-8.19643499678395,-7.44197367072133,-9.00973622573214,-7.98068975505093,-7.48185343438363,-7.32150212932231,-7.36526644567204
"XP_020330485.2",-12.6435349917069,-12.9258729655572,-15.0585962808239,-13.5813436947766,-15.6656524287283,-15.51149679537,-14.1318494485634,-16.1797204751361,-13.7726097207707,-13.1331069853324,-15.7002526132159,-13.8934922291525,-12.751619754533,-13.3760359621687,-14.8076636653092,-13.7054150447786,-16.6244612023827,-13.2976458180657,-14.3893122872244,-15.1231790578095,-15.4269703736791,-17.7549029777767
"XP_020330488.1",-11.9094550513098,-12.2895551373163,-11.7099654150844,-12.3340479064983,-12.0468128343678,-11.9934736532626,-11.7807355456802,-12.0668922971406,-12.9748781711604,-12.0093239933484,-12.1695798141029,-12.1146582630326,-12.4799943117505,-12.2774097386108,-11.8680493756274,-12.0202926801413,-12.0772657289272,-12.2446446341873,-11.9955284141308,-11.8075907818151,-11.8215081008165,-12.2369201060031
"XP_020330491.1",-9.25473333642173,-9.45349433288922,-9.2331457223916,-10.3330862444943,-9.85583118528175,-9.94913874577901,-8.34575966630704,-9.49009552512497,-9.39244874035861,-9.69589932578442,-9.61800882081233,-9.17725450144855,-9.76697890488007,-8.94877070408178,-9.55249874507982,-9.09978540785507,-9.60721453936964,-9.53731353390462,-8.49172558409709,-8.87402667827969,-9.75306503631841,-9.55979314869702
"XP_020330502.1",-7.56511514785559,-6.95443604972546,-7.42815415006542,-7.70077396460426,-6.49928129546636,-6.27426722531894,-6.94815802554546,-6.79260944520664,-7.35541487048959,-6.96923364022526,-6.46740925949725,-6.74334292281122,-7.11270297669651,-7.34267382360627,-6.80642919394966,-7.10698172392917,-6.51827101770037,-7.78759639916844,-6.60454527830719,-6.84895240516943,-6.56656170986014,-6.60251009475828
"XP_020330513.1",-5.89152264145792,-5.92018119676764,-6.18476374964233,-6.31045607639863,-6.0064726214234,-5.82540819529194,-5.98471229253881,-5.90187577431911,-6.06741564055196,-5.93461513076957,-5.93289316767774,-6.15265958230995,-6.0412243404221,-6.00635967587295,-5.90439318353869,-5.99363379996051,-6.04648247966634,-6.0991374667606,-6.02089127093752,-6.07217124104456,-5.68708593963026,-5.93915210036252
"XP_020330533.1",-12.1247351296768,-11.1880004445477,-12.0728201350817,-13.0390258323478,-11.2873959255729,-10.6463803137912,-11.5294644783018,-10.4030140279463,-12.3179227171076,-11.3671722554762,-10.7887234591374,-11.3697805683214,-11.775811083316,-11.7019702163782,-11.3117843476739,-11.9417115518927,-10.9074253113139,-12.4404343550517,-11.7774839455655,-10.9473953656221,-10.8618346211068,-10.6752794357633
"XP_020330534.2",-4.44967754572509,-4.35213966508488,-4.72941492849188,-4.51795339108165,-4.06907542876631,-4.28903407105906,-4.55053364743998,-4.32118915997339,-4.6090383509004,-4.39506569356189,-4.41070599249345,-4.36116064551059,-4.48581334688328,-4.14343170152601,-4.50142518403428,-4.27353362843618,-4.80505593340811,-4.98600745754045,-4.49452350389919,-4.25928948383157,-4.17397578043212,-4.98499714817209
"XP_020330536.1",NA,-16.9878967756359,-19.2638052371744,NA,-17.0630970523744,NA,-18.7024928368101,-17.961254568395,-18.8605362199632,-19.5136242431554,-18.4975323012294,-17.3363576230164,NA,-19.32323674995,-18.021404575719,NA,-17.8261231417072,-19.2848656508121,-19.46355152204,-17.8215652590212,-17.0957700897428,-18.3684664957292
"XP_020330543.1",-9.18164511362436,-8.5566688123404,-9.97581302964465,-8.70329650297251,-8.39751313591285,-8.05233928961094,-9.15517016008781,-7.58995756630644,-9.54342353908929,-9.23889810447506,-8.15084085763062,-9.11386418864502,-9.76267674058165,-9.69931887915033,-7.95992629089052,-9.58533435155378,-8.23593105415659,-10.2173239120723,-8.80198847462153,-8.68011832711578,-8.2231548386616,-8.24264976564301
"XP_020330545.1",-13.4422523915526,-12.9897373825101,-13.3449096991993,-11.9809555003038,-11.7455182543245,-11.7360645035326,-12.5845592866173,-11.4275257768641,-12.6410880718321,-12.3963118342576,-11.6423218498211,-12.9750109965456,-12.9902031680404,-12.9886355281125,-11.5013107548841,-12.7542994885573,-12.004883832379,-13.5784136428658,-12.5271946395297,-12.5406691990827,-12.1991309219489,-11.7911308560293
"XP_020330546.1",-10.652954931706,-9.85266034547458,-11.6483381321724,-10.1775410517843,-9.78159283214648,-9.2978301542158,-10.4497931168673,-8.61108887466589,-10.8949685127807,-10.6871348306106,-9.58881397134845,-10.2598570862899,-11.0416018767364,-10.962647086153,-9.39731131368,-10.9648570721877,-9.44869838693018,-11.4098414613253,-9.89436068014355,-9.75682069743263,-9.33412282921564,-9.71779889278184
"XP_020330554.1",-17.0100764816133,-16.6372429540428,-15.6232179830923,-19.7720464999986,-16.7981665005472,-16.8300894334637,-16.70508951346,-16.1865897673481,-23.5105518274809,-17.3664984056181,-16.6324126006219,-16.6725546660089,-18.1280514105724,-17.1030183858135,-16.9022259954408,-16.4387113348364,-16.2201868289291,-16.1017395854687,-17.0981178284136,-17.1122347970378,-16.4361393064495,-16.8978039176098
"XP_020330563.1",-18.6710391414245,-14.2608042347399,-19.0288885967209,-19.268014983651,-18.288471570517,NA,-17.1867938777032,-16.1078742824459,-18.7838171640929,-18.6042247159504,-15.3406919930431,NA,-18.408031164257,-18.7375160238086,-16.6648465759825,-17.3684425256702,-15.9896006890459,-16.9902182449008,-16.4966424245093,-16.5201033322568,-19.8713754913732,-16.2391102763751
"XP_020330564.1",-5.86580236950276,-5.49029779170866,-6.30138777528619,-6.4686451029708,-5.86249235731953,-6.03449943216525,-5.90706295509843,-6.0146916367778,-6.16442697216973,-6.04108189840064,-6.06529917449798,-6.3236134893738,-6.2365228818774,-6.20122764295304,-6.27934425898338,-6.21188206393036,-6.10402895925122,-5.86761033224127,-6.04679612804834,-6.15765839888746,-6.03675851365862,-6.20181263509838
"XP_020330614.2",-11.9383530736902,-12.0298955313584,-10.7909485393405,-11.7822998238425,-11.0737435021118,-11.2178666550501,-10.8547131791926,-11.4293265879291,-11.5128903218603,-10.8780983798662,-11.2915204612705,-11.377298125242,-11.1637516595823,-11.4695957701341,-11.2964592631666,-11.3778574254461,-10.9954630020929,-11.1474912215135,-11.3204555794459,-11.1131299161634,-11.2367677041425,-11.2498471714436
"XP_020330658.1",-5.49130158668958,-5.2443610871448,-6.36028743871257,-5.71299210652995,-5.98597302025947,-5.93866779352164,-6.7752000313934,-5.68731009291792,-5.91025124965126,-6.67577602903954,-6.01464399399875,-6.25025343969674,-6.84583824176625,-6.73276759121375,-6.11830489343911,-5.52113681536537,-6.35964198473061,-6.96448514463724,-5.82992961447607,-6.00054943848486,-5.83304953216189,-6.52877887340834
"XP_020330703.1",-14.952894936408,-12.7139719821584,-16.7991697199887,-14.8185401769383,-14.113714489562,-14.9933481755782,-14.3315451279484,-12.6046511061537,-15.0777756999291,-14.1706069288181,-14.0637653489986,-14.2787444701001,-16.18112881976,-14.9141877519401,-14.7359862003496,-14.4978163656825,-13.0924312817308,-16.9470194770971,-14.9141057999645,-13.7572824073869,-12.6991205313435,-13.64954836034
"XP_020330730.2",-16.2354277904289,-18.7722486689529,-16.6727489070039,-16.976358654555,-17.0038385952476,-16.7739731674568,-16.3714230719232,-18.9449569714643,-16.4306883645802,-19.3218762706669,-17.6081770791387,-16.1985564977683,-16.6443101034141,-17.5347991683839,-16.3340162250261,-15.8931375079491,-17.688466484528,-16.7893104253644,-20.1496259526806,-16.926544107185,-17.052310553663,-16.9112846668525
"XP_020330750.1",-3.54973591308326,-3.88169713899951,-3.82050119229912,-3.98306396755506,-3.74803718573638,-3.64832266473338,-3.64812127557814,-3.86587774421611,-3.71519784306653,-3.49782897412596,-3.54774732479956,-3.90626484045705,-3.64803522570411,-3.71363419724665,-4.30498166156643,-3.47950328099265,-4.28473778844686,-3.80516601610306,-3.63175715924494,-3.92204902988316,-3.74074867541474,-4.00557102634599
"XP_020330769.1",-11.3062293313679,-11.7706757310449,-10.6100967685488,-11.0851755967908,-11.586563733657,-10.5905550613479,-10.4501812536632,-10.9865163322475,-10.6985615993302,-11.4393744743749,-10.9918278329875,-11.3633446877165,-10.3622729405375,-11.0315423046134,-10.5614032474715,-11.5526994464771,-10.7396800177995,-10.3991651242497,-10.7838572844374,-10.8438385767033,-10.3453493024891,-10.9316032783818
